player_name,Size,Explosiveness,Strength,career_length,overall_pick,age_at_draft,organization_type,position,greatest_75
David Lee,0.5053757953061444,0.8894814520408045,0.3314071615519531,12.0,30,22.0,College/University,PF,N
Sean May,1.195513119517195,0.7822723453254172,0.2788723035413405,5.0,13,21.0,College/University,PF,N
Rashad McCants,-1.6623405222097438,1.0465214666496838,0.6601783622910107,4.0,14,21.0,College/University,SG,N
Chris Paul,-3.5360355981655918,-0.5312190744360444,0.6431430230353554,19.0,4,20.0,College/University,PG,Y
Brandon Rush,-0.29446047252978774,-0.44671407636090504,-1.5240964548310372,9.0,13,20.0,College/University,SG-SF,N
Wayne Simien,2.1649094227699974,-0.8009886663602864,0.6080806262914655,2.0,29,22.0,College/University,PF,N
Chris Taft,2.0148669905622696,0.9573199879699162,0.23450351531392855,1.0,42,20.0,College/University,PF,N
Charlie Villanueva,1.805536215517035,-0.4784533151941462,0.2075603879103369,11.0,7,21.0,College/University,PF-SF,N
Hakim Warrick,0.08897933770744414,1.709130825858812,-0.9229872126225137,8.0,19,23.0,College/University,PF-SF,N
Martell Webster,1.3235363814886674,-1.1679029288733094,-0.2042549385173651,10.0,6,19.0,High School,SF,N
Robert Whaley,2.4076654728795996,1.1546768245916164,0.1305737182162634,1.0,51,23.0,College/University,PF-C,N
Marvin Williams,0.8089149793337985,1.0657925036481823,-0.35005806981905685,15.0,2,19.0,College/University,PF-SF,N
Deron Williams,-1.8877757953134402,-0.22346036675194553,1.2827048758062902,12.0,3,21.0,College/University,PG,N
Antoine Wright,0.8595510260428161,-1.7474764538456964,0.536420845062701,6.0,15,21.0,College/University,SF-SG,N
Bracey Wright,-1.3076819108829072,-0.7288725600944448,-0.30788553393967916,2.0,47,21.0,College/University,SG-PG,N
Corey Brewer,-1.0654890853158714,0.03995088787038426,-0.9406741413814158,13.0,7,21.0,College/University,SF-SG,N
Aaron Brooks,-4.859283586483671,-0.7836359231560349,-0.7353734586796793,11.0,26,22.0,College/University,PG,N
Mike Conley,-4.152129702035855,1.0954382141966934,-0.32470559652146624,17.0,4,20.0,College/University,PG,N
Daequan Cook,-1.1744456053133636,-0.941741232117858,-0.2573710247277342,6.0,21,20.0,College/University,SG,N
Javaris Crittenton,-2.068871267402147,0.032624408584531285,-0.3752274872220747,3.0,19,20.0,College/University,PG,N
Jared Dudley,0.4235224574377468,-1.0250837804265025,1.1124846730722746,14.0,22,22.0,College/University,SF,N
